name	category
AWS EC2: Instance has spent too many CPU surplus credits (over {$AWS.EC2.CPU.CREDIT.SURPLUS.BALANCE.MAX.WARN} for 15m)'	Low Balance
AWS ECS Cluster: High CPU utilization (over {$AWS.ECS.CLUSTER.CPU.UTIL.WARN}% for 15m)	System Performance
AWS ECS Cluster: High memory utilization (over {$AWS.ECS.CLUSTER.MEMORY.UTIL.WARN}% for 15m)	System Memory
AWS ECS Serverless: High CPU utilization (over {$AWS.ECS.CLUSTER.CPU.UTIL.WARN}% for 15m)	System Performance
AWS ECS Serverless: High memory utilization (over {$AWS.ECS.CLUSTER.MEMORY.UTIL.WARN}% for 15m)	System Memory
AWS ELB ALB: Failed to get CloudWatch alarms for Application Load Balancer	Request Failure
AWS ELB ALB: Failed to get CloudWatch metrics for Application Load Balancer	Request Failure
AWS ELB ALB: Too many HTTP 4XX error codes (over {$AWS.HTTP.4XX.FAIL.MAX.WARN} for 5m)	High Error Rate
AWS ELB ALB: Too many HTTP 5XX error codes (over {$AWS.HTTP.5XX.FAIL.MAX.WARN} for 5m)	High Error Rate
AWS ELB NLB: Failed to get CloudWatch alarms for Network Load Balancer	Request Failure
AWS ELB NLB: Failed to get CloudWatch metrics for Network Load Balancer	Request Failure
AWS Lambda: Failed to get CloudWatch alarms for the Lambda function	Request Failure
AWS Lambda: Failed to get CloudWatch metrics for the Lambda function	Request Failure
AWS RDS: Burst balance is too low (less {$AWS.RDS.BURST.CREDIT.BALANCE.MIN.WARN}% for 5m)	Low Balance
AWS RDS: Byte Credit balance is too low (less {$AWS.EBS.BYTE.CREDIT.BALANCE.MIN.WARN}% for 5m)	Low Balance
AWS RDS: High CPU utilization (over {$AWS.RDS.CPU.UTIL.WARN.MAX}% for 15m)	System Performance
AWS RDS: I/O Credit balance is too low (less {$AWS.EBS.IO.CREDIT.BALANCE.MIN.WARN}% for 5m)	Low Balance
AWS RDS: Instance CPU Credit balance is too low (less {$AWS.RDS.CPU.CREDIT.BALANCE.MIN.WARN} for 5m)	Low Balance
Alcatel TiMOS: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Alcatel TiMOS: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
Alcatel TiMOS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Alcatel TiMOS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Apache Cassandra: Failed to fetch info data (or no data for 15m)	Agent/Service Status
Apache Cassandra: Many pending tasks (over {$CASSANDRA.PENDING_TASKS.MAX.WARN} for 15m)	Overwhelming Usage
Apache Cassandra: Too many pending tasks (over {$CASSANDRA.PENDING_TASKS.MAX.HIGH} for 15m)	Overwhelming Usage
Apache Cassandra: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Apache Kafka: Failed to fetch info data (or no data for 15m)	Agent/Service Status
Apache Kafka: Kafka service has been restarted (uptime < 10m)	Agent/Service Status
Apache Kafka: Network processor average idle percent is too low (under {$KAFKA.NET_PROC_AVG_IDLE.MIN.WARN} for 15m)	Overwhelming Usage
Apache Kafka: Request handler average idle percent is too low (under {$KAFKA.REQUEST_HANDLER_AVG_IDLE.MIN.WARN} for 15m)	Overwhelming Usage
Apache Kafka: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Apache Tomcat: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Apache: Failed to fetch status page (or no data for 30m)	Agent/Service Status
Apache: Service has been restarted (uptime < 10m)	Agent/Service Status
Apache: Service response time is too high (over {$APACHE.RESPONSE_TIME.MAX.WARN}s for 5m)	Slow Response Time
Apache: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Arista: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Arista: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Arista: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Asterisk: Configuration has been reloaded (last reload < 10m ago)	System Configuration Info
Asterisk: Failed to fetch AMI page (or no data for 30m)	Agent/Service Status
Asterisk: Service has been restarted (uptime < 10m)	Agent/Service Status
Asterisk: Service response time is too high (over {$AMI.RESPONSE_TIME.MAX.WARN} for 5m)	Slow Response Time
Asterisk: Total number of active channels of IAX trunks is too high (over {$AMI.TRUNK_ACTIVE_CHANNELS_TOTAL.MAX.WARN:"IAX"} for 10m)	Overwhelming Usage
Asterisk: Total number of active channels of PJSIP trunks is too high (over {$AMI.TRUNK_ACTIVE_CHANNELS_TOTAL.MAX.WARN:"PJSIP"} for 10m)	Overwhelming Usage
Asterisk: Total number of active channels of SIP trunks is too high (over {$AMI.TRUNK_ACTIVE_CHANNELS_TOTAL.MAX.WARN:"SIP"} for 10m)	Overwhelming Usage
Asterisk: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Azure Cost: Error in daily costs requests to API	Request Failure
Azure Cost: Error in monthly costs requests to API	Request Failure
Azure SQL instance: Critically high CPU utilization: (over >= {$AZURE.SQL.INST.CPU.CRIT}% over last 10m)	System Performance
Azure SQL instance: High CPU utilization: (over >= {$AZURE.SQL.INST.CPU.WARN}% over last 10m)	System Performance
Azure SQL instance: The free storage space is critically low (below {$AZURE.SQL.INST.SPACE.CRIT}% for 5m)	Filesystem
Azure SQL instance: The free storage space is low (below {$AZURE.SQL.INST.SPACE.WARN}% for 5m)	Filesystem
Azure VM Scale: CPU utilization is high (over {$AZURE.SCALESET.CPU.UTIL.CRIT}% for last 5m)	System Performance
Azure VM Scale: Number of VMs is high (over {$AZURE.SCALESET.VM.COUNT.CRIT} for last 5m)	Overwhelming Usage
Azure VM: CPU utilization is high (over {$AZURE.VM.CPU.UTIL.CRIT}% for last 5m)	System Performance
Brocade FC: Device has been replaced (new serial number received)	System Configuration Info
Brocade FC: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Brocade FC: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
Brocade FC: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Brocade FC: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Brocade Nonstackable: Device has been replaced (new serial number received)	System Configuration Info
Brocade Nonstackable: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Brocade Nonstackable: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
Brocade Nonstackable: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Brocade Nonstackable: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Brocade Stackable: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Brocade Stackable: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
Brocade Stackable: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Brocade Stackable: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Ceph: Minimum monitor release version has changed (new version: {ITEM.VALUE})	System Configuration Info
Certificate: {?jsonpath(last(//cert.get.data),"$.error.message", "")}	Certificate Problem
Check Point: Device has been replaced (new serial number received)	System Configuration Info
Check Point: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Check Point: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
Check Point: Load average is too high (per CPU load over {$LOAD_AVG_PER_CPU.MAX.WARN} for 5m)	System Performance
Check Point: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Check Point: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco ASAv: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Catalyst 3750V2-24FS: Device has been replaced (new serial number received)	System Configuration Info
Cisco Catalyst 3750V2-24FS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Catalyst 3750V2-24FS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Catalyst 3750V2-24PS: Device has been replaced (new serial number received)	System Configuration Info
Cisco Catalyst 3750V2-24PS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Catalyst 3750V2-24PS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Catalyst 3750V2-24TS: Device has been replaced (new serial number received)	System Configuration Info
Cisco Catalyst 3750V2-24TS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Catalyst 3750V2-24TS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Catalyst 3750V2-48PS: Device has been replaced (new serial number received)	System Configuration Info
Cisco Catalyst 3750V2-48PS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Catalyst 3750V2-48PS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Catalyst 3750V2-48TS: Device has been replaced (new serial number received)	System Configuration Info
Cisco Catalyst 3750V2-48TS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Catalyst 3750V2-48TS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco IOS: Device has been replaced (new serial number received)	System Configuration Info
Cisco IOS: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Cisco IOS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco IOS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Nexus 9000: Device has been replaced (new serial number received)	System Configuration Info
Cisco Nexus 9000: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco Nexus 9000: {HOST.NAME} has been restarted or reinitialized (uptime < 10m)	Agent/Service Status
Cisco SD-WAN: Device has been replaced (new serial number received)	System Configuration Info
Cisco SD-WAN: High CPU utilization (over {$SDWAN.CPU.UTIL.CRIT}% for 5m)	System Performance
Cisco SD-WAN: High memory utilization (>{$SDWAN.MEMORY.UTIL.MAX}% for 5m)	System Memory
Cisco SD-WAN: Lack of available memory (<{$SDWAN.MEMORY.AVAILABLE.MIN} of {ITEM.VALUE2})	System Memory
Cisco SD-WAN: Load average is too high (per CPU load over {$SDWAN.LA.PER.CPU.MAX.WARN} for 5m)	System Performance
Cisco SD-WAN: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco SD-WAN: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco Secure FTD: Device has been replaced (new serial number received)	System Configuration Info
Cisco Secure FTD: High CPU utilization (over {$CISCO.FTD.CPU.UTIL.WARN}% for 15m)	System Performance
Cisco Secure FTD: High memory utilization (over {$CISCO.FTD.MEMORY.UTIL.WARN}% for 15m)	System Memory
Cisco Secure FTD: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco UCS Manager: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco UCS Manager: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cisco UCS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Cisco UCS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
ClickHouse: Failed to fetch info data (or no data for 30m)	Agent/Service Status
ClickHouse: Replication lag is too high (over {$CLICKHOUSE.REPLICA.MAX.WARN} sec for 5min)	Slow Response Time
ClickHouse: There are queries running more than {$CLICKHOUSE.QUERY_TIME.MAX.WARN} seconds	Slow Response Time
ClickHouse: Too many MergeTree parts (over 90% of {$CLICKHOUSE.PARTS.PER.PARTITION.WARN})	Overwhelming Usage
ClickHouse: Too many distributed files to insert (over {$CLICKHOUSE.DELAYED.FILES.DISTRIBUTED.COUNT.MAX.WARN} for 5 min)	Overwhelming Usage
ClickHouse: Too many network errors (over {$CLICKHOUSE.NETWORK.ERRORS.MAX.WARN} in 5m)	High Error Rate
ClickHouse: Too many throttled insert queries (over {$CLICKHOUSE.DELAYED.INSERTS.MAX.WARN} for 5 min)	Overwhelming Usage
ClickHouse: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
ClickHouse: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Cloudflare: Cached bandwidth is too low (less than {$CLOUDFLARE.CACHED_BANDWIDTH.MIN.WARN}% for 3 last measurements)	System Cache
Cloudflare: Ratio of non-2xx responses is too high (more than {$CLOUDFLARE.ERRORS.MAX.WARN}% for 3 last measurements)	High Error Rate
CockroachDB: CA certificate expires soon (less than {$COCKROACHDB.CERT.CA.EXPIRY.WARN} days)	Certificate Problem
CockroachDB: Clock offset is too high (over {$COCKROACHDB.CLOCK.OFFSET.MAX.WARN}ms for 5m)	System Configuration Info
CockroachDB: Current number of open files is too high (over {$COCKROACHDB.OPEN.FDS.MAX.WARN}% for 10m)	Overwhelming Usage
CockroachDB: Failed to fetch node data (or no data for 5m)	Agent/Service Status
CockroachDB: Node certificate expires soon (less than {$COCKROACHDB.CERT.NODE.EXPIRY.WARN} days)	Certificate Problem
CockroachDB: Node has been restarted (uptime < 10m)	Agent/Service Status
CockroachDB: SQL statements errors rate is too high (over {$COCKROACHDB.STATEMENTS.ERRORS.MAX.WARN} per second for 5m)	High Error Rate
CockroachDB: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
D-Link DES 7200: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
D-Link DES 7200: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
D-Link DES 7200: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
D-Link DES_DGS Switch: Device has been replaced (new serial number received)	System Configuration Info
D-Link DES_DGS Switch: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
D-Link DES_DGS Switch: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
D-Link DES_DGS Switch: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell Force S-Series: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell Force S-Series: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R660: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R660: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R660: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R660: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R660: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R660: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R660: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R660: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R660: Device has been replaced (new serial number received)	System Configuration Info
Dell R660: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R660: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R720: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R720: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R720: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R720: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R720: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R720: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R720: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R720: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R720: Device has been replaced (new serial number received)	System Configuration Info
Dell R720: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R720: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R740: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R740: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R740: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R740: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R740: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R740: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R740: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R740: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R740: Device has been replaced (new serial number received)	System Configuration Info
Dell R740: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R740: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R750: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R750: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R750: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R750: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R750: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R750: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R750: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R750: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R750: Device has been replaced (new serial number received)	System Configuration Info
Dell R750: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R750: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R820: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R820: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R820: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R820: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R820: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R820: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R820: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R820: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R820: Device has been replaced (new serial number received)	System Configuration Info
Dell R820: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R820: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell R840: Current CPU utilization is high (util >= {$DELL.HTTP.CPU.UTIL.WARN}%)	System Performance
Dell R840: Current CPU utilization is too high (util >= {$DELL.HTTP.CPU.UTIL.HIGH}%)	System Performance
Dell R840: Current IO utilization is high (util >= {$DELL.HTTP.IO.UTIL.WARN}%)	Filesystem
Dell R840: Current IO utilization is too high (util >= {$DELL.HTTP.IO.UTIL.HIGH}%)	Filesystem
Dell R840: Current SYS utilization is high (util >= {$DELL.HTTP.SYS.UTIL.WARN}%)	System Performance
Dell R840: Current SYS utilization is too high (util >= {$DELL.HTTP.SYS.UTIL.HIGH}%)	System Performance
Dell R840: Current memory utilization is high (util >= {$DELL.HTTP.MEM.UTIL.WARN}%)	System Memory
Dell R840: Current memory utilization is too high (util >= {$DELL.HTTP.MEM.UTIL.HIGH}%)	System Memory
Dell R840: Device has been replaced (new serial number received)	System Configuration Info
Dell R840: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell R840: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Dell iDRAC: Device has been replaced (new serial number received)	System Configuration Info
Dell iDRAC: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Dell iDRAC: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Docker: Failed to fetch info data (or no data for 30m)	Agent/Service Status
Docker: Version has changed (new version: {ITEM.VALUE})	System Configuration Info
Elasticsearch: Cluster has been restarted (uptime < 10m)	Agent/Service Status
Elasticsearch: Service response time is too high (over {$ELASTICSEARCH.RESPONSE_TIME.MAX.WARN} for 5m)	Slow Response Time
Elasticsearch: Space available to JVM (less than {$ELASTICSEARCH.SINGLE.NODE.JVM.SPACE.MIN})	Filesystem
Envoy Proxy: Failed to fetch metrics data (or no data for 10m)	Request Failure
Envoy Proxy: SSL certificate expires soon (less than {$CERT.EXPIRY.MIN} days)	Certificate Problem
Envoy Proxy: Service has been restarted (uptime < 10m)	Agent/Service Status
Etcd: Cluster version has changed (new version: {ITEM.VALUE})	System Configuration Info
Etcd: Current number of open files is too high (over {$ETCD.OPEN.FDS.MAX.WARN}% for 5m)	Overwhelming Usage
Etcd: Failed to fetch info data (or no data for 30m)	Agent/Service Status
Etcd: Instance has seen too many leader changes (over {$ETCD.LEADER.CHANGES.MAX.WARN} for 15m)	High Error Rate
Etcd: Server version has changed (new version: {ITEM.VALUE})	System Configuration Info
Etcd: Too many HTTP requests failures (over {$ETCD.HTTP.FAIL.MAX.WARN} for 5m)	High Error Rate
Etcd: Too many proposal failures (over {$ETCD.PROPOSAL.FAIL.MAX.WARN} for 5m)	High Error Rate
Etcd: Too many proposals are queued to commit (over {$ETCD.PROPOSAL.PENDING.MAX.WARN} for 5m)	Overwhelming Usage
Etcd: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
Extreme EXOS: Device has been replaced (new serial number received)	System Configuration Info
Extreme EXOS: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
Extreme EXOS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
Extreme EXOS: Temperature is above critical threshold: >{$TEMP_CRIT}	High Temperature
Extreme EXOS: Temperature is above warning threshold: >{$TEMP_WARN}	High Temperature
Extreme EXOS: Temperature is too low: <{$TEMP_CRIT_LOW}	Low Temperature
Extreme EXOS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
F5 Big-IP: Changes have been made on the device not sync to the device group: {ITEM.VALUE}	System Configuration Info
F5 Big-IP: Chassis has been replaced (new serial number received)	System Configuration Info
F5 Big-IP: Cluster not in sync: {ITEM.VALUE}	System Configuration Info
F5 Big-IP: The device is inconsistent with the device group: {ITEM.VALUE}	System Configuration Info
F5 Big-IP: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
FortiGate: Device has been replaced (new serial number received)	System Configuration Info
FortiGate: Free disk space is less than {$DISK.FREE.CRIT}%	Filesystem
FortiGate: Free disk space is less than {$DISK.FREE.WARN}%	Filesystem
FortiGate: High CPU utilization (over {$CPU.UTIL.CRIT}% for 5m)	System Performance
FortiGate: High CPU utilization (over {$CPU.UTIL.WARN}% for 5m)	System Performance
FortiGate: High memory utilization (>{$MEMORY.UTIL.CRIT}% for 5m)	System Memory
FortiGate: High memory utilization (>{$MEMORY.UTIL.MAX}% for 5m)	System Memory
FortiGate: High memory utilization (>{$MEMORY.UTIL.WARN}% for 5m)	System Memory
FortiGate: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
FortiGate: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
FreeBSD: Zabbix agent is not available (for {$AGENT.TIMEOUT})	Agent/Service Status
